company,report_year,report_type,project_name,subprojects,description,mine,partners,stage,years,project_value_company,project_value_partners,category,location,location_accuracy,pages,project_id,duplicate,lat1,long1
DRD,2011,IR,"Learnerships in engineering, motor mechanics, new venture creation and construction skills, Ekurhuleni",[],"EBDA offers learnerships for corporate sponsored employees in engineering, motor mechanics, new venture creation and construction skills.",Ergo,,Operating,2011,,,Community Training: Post-School,", Ekurhuleni, , ",District/Province/Region,"30,32",DRD2011-1,False,,
DRD,2011,IR,"Short courses and skills programmes in metallurgy and minerals processing, engineering and adult basic education, Ekurhuleni",[],"EBDA offers short courses and skills programmes in metallurgy and minerals processing, engineering and adult basic education.",Ergo,,Operating,2011,,,Community Training: Post-School,", Ekurhuleni, , ",District/Province/Region,32,DRD2011-2,False,,
DRD,2011,IR,"Short courses in computer skills, operator training and licensing, and health and safety, Ekurhuleni",[],"EBDA offers short courses in computer skills, operator training and licensing, and health and safety.",Ergo,,Operating,2011,,,Community Training: Post-School,", Ekurhuleni, , ",District/Province/Region,32,DRD2011-3,False,,
DRD,2011,IR,"Assistance to Ekukhanyeni Primary School by improving library security for media centre conversion, Ekurhuleni",[],"EBDA provided assistance to Ekukhanyeni Primary School by improving the security of the school’s library, which will be converted to a media centre.",Ergo,,Completed,2011,,,Infrastructure: Education,"Ekukhanyeni Primary School, , Ekurhuleni, ",Building,32,DRD2011-4,False,-25.2044078,28.9676395
DRD,2011,IR,"Khotso-Caritas Hospice HIV & AIDS programmes, Ekurhuleni","HIV & AIDS prevention and treatment including VCT and ART, Ekurhuleni; Palliative care to terminally ill patients, Ekurhuleni; Day care to children infected and affected by HIV & AIDS, Ekurhuleni","The Khotso-Caritas Hospice runs HIV & AIDS programmes for people in the area, including prevention and treatment (VCT and ART), palliative care for terminally ill patients, and day care for children infected and affected by HIV & AIDS.",ERPM,,Operating.Operating.Operating,2011,,,Community Training: Health.Community Training: Health.Community Training: Health,"Khotso-Caritas Hospice, , Ekurhuleni, ",Building,32,DRD2011-5,False,-26.1777025,28.3461948
DRD,2011,IR,"Refurbishment of facilities at Riverlea Secondary School, Riverlea",[],Refurbishment of facilities at the Riverlea Secondary School.,Crown,,Completed,2011,"433000, ZAR, invested in 2011",,Infrastructure: Education,"Riverlea Secondary School, Riverlea, , ",Building,32,DRD2011-6,False,-26.2156892,27.9761941
DRD,2011,IR,"Library upgrade to media centre at Crestview Primary School, Crestview",[],Upgrade of the library to a media centre at Crestview Primary School.,Crown,,Completed,2011,"240000, ZAR, invested in 2011",,Infrastructure: Education,"Crestview Primary School, Crestview, , ",Building,32,DRD2011-7,False,30.7541808,-86.5727995
DRD,2011,IR,"Installation of foggers to reduce dust at main tipping areas, Blyvoor",[],"Installation of three foggers at main tipping areas to create an ultra fine mist to attach to dust particles, with a fourth system under investigation.",Blyvoor,,Operating,2011,,,Infrastructure: Other,", , , ",District/Province/Region,30,DRD2011-8,False,,
DRD,2011,IR,"Muffling of rock drills and installation of silencers on underground cooling fans, Blyvoor",[],"All rock drills have been muffled to sound levels of approximately 110dBA and 25 Sulzer rock drills, which are quieter and use less air, are in use. About 70% of all fans installed for underground cooling have been fitted with silencers.",Blyvoor,,Operating,2011,,,Infrastructure: Other,", , , ",District/Province/Region,30,DRD2011-9,False,,
DRD,2015,Social,"Clean fuel project, Riverlea",[],Distribution of 500 gas stoves and 6kg gas canisters to households without electricity.,,,Planned,2015,"239400, ZAR, invested in 2015",,Infrastructure: Services,", Riverlea, , ",Village/Town,"1,2",DRD2015-1,False,-26.2121298,27.9732248
DRD,2015,Social,"Vegetation rehabilitation project, Soweto/Geluksdal communities",[],Local youth employed for rehabilitation of Crown and Ergo tailings complexes.,"Crown, Ergo",,Operating,2015,"2120749, ZAR, invested in 2015",,Alternative Livelihood/Employment Programmes,", Soweto, , . , Geluksdal, , ",Village/Town.Village/Town,"1,2",DRD2015-2,False,-26.3459184,28.3613587
DRD,2015,Social,"Uweso Technogirl, Ergo",[],Expose girl learners to workplace and career options through visits to Ergo plant and job shadowing during school breaks.,Ergo,,Operating,2015,"14244, ZAR, invested in 2015",,Community Training: Post-School,,,"1,2",DRD2015-3,False,,
